City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Necaxa,MX,2020-08-21 22:00:25,20.22,-98.0,76.53,66,16,5.66
70,Banda Aceh,ID,2020-08-21 22:00:25,5.56,95.32,79.56,78,100,1.86
71,De Haan,BE,2020-08-21 22:00:25,51.27,3.04,66.99,77,15,10.29
72,Havelock,US,2020-08-21 22:00:25,34.88,-76.9,82.99,74,75,5.82
73,Hermanus,ZA,2020-08-21 22:00:26,-34.42,19.23,55.0,77,52,1.01
74,Sitka,US,2020-08-21 22:00:26,57.05,-135.33,60.8,82,75,4.38
75,Lazaro Cardenas,MX,2020-08-21 22:00:26,17.96,-102.2,83.8,74,99,6.89
76,Pangnirtung,CA,2020-08-21 22:00:27,66.15,-65.71,53.6,76,20,8.05
77,Cidreira,BR,2020-08-21 22:00:27,-30.18,-50.21,48.7,59,0,7.67
78,Cayenne,GF,2020-08-21 22:00:05,4.93,-52.33,84.2,70,3,3.36
79,Pisco,PE,2020-08-21 22:00:27,-13.7,-76.22,63.0,82,75,8.05
80,Nuuk,GL,2020-08-21 21:55:56,64.18,-51.72,42.01,93,60,8.99
81,Najran,SA,2020-08-21 22:00:28,17.49,44.13,84.2,18,73,4.7
82,Castro,BR,2020-08-21 22:00:28,-24.79,-50.01,41.23,89,100,6.33
83,Faya,SA,2020-08-21 22:00:28,18.39,42.45,78.8,14,83,2.28
84,Rundu,NA,2020-08-21 22:00:28,-17.93,19.77,56.68,35,74,5.61
85,Touho,NC,2020-08-21 22:00:29,-20.78,165.23,72.54,72,2,3.94
86,Georgetown,MY,2020-08-21 21:55:42,5.41,100.34,78.8,88,20,3.36
87,Coihaique,CL,2020-08-21 22:00:29,-45.58,-72.07,53.6,50,20,6.93
88,Scottsbluff,US,2020-08-21 21:59:14,41.87,-103.67,93.2,23,1,5.82
89,Chokurdakh,RU,2020-08-21 22:00:29,70.63,147.92,36.54,89,98,8.95
90,Talnakh,RU,2020-08-21 22:00:29,69.49,88.4,55.4,93,40,6.71
91,Qujing,CN,2020-08-21 22:00:29,25.48,103.78,61.72,91,77,3.87
92,Charters Towers,AU,2020-08-21 22:00:30,-20.1,146.27,61.2,32,0,8.52
93,Port Elizabeth,ZA,2020-08-21 22:00:30,-33.92,25.57,55.4,82,73,2.24
94,Norman Wells,CA,2020-08-21 22:00:30,65.28,-126.83,64.4,55,75,17.22
95,Hilo,US,2020-08-21 21:59:54,19.73,-155.09,82.4,65,40,10.29
96,Luanda,AO,2020-08-21 21:58:53,-8.84,13.23,71.6,88,75,4.7
97,Laguna,US,2020-08-21 21:57:13,38.42,-121.42,91.99,35,90,4.45
98,Nanortalik,GL,2020-08-21 22:00:30,60.14,-45.24,46.94,69,0,1.28
99,Touros,BR,2020-08-21 22:00:31,-5.2,-35.46,77.0,83,20,9.17
100,Hami,CN,2020-08-21 22:00:31,42.8,93.45,76.26,24,66,3.98
101,Andenes,NO,2020-08-21 22:00:31,69.31,16.12,51.8,93,56,6.93
102,Bluff,NZ,2020-08-21 22:00:31,-46.6,168.33,50.0,97,56,4.0
103,Arlit,NE,2020-08-21 21:55:50,18.74,7.39,98.13,21,17,9.22
104,Pauini,BR,2020-08-21 22:00:32,-7.71,-66.98,75.2,42,0,7.9
105,Sakakah,SA,2020-08-21 22:00:32,29.97,40.21,86.0,16,0,6.93
106,Torbay,CA,2020-08-21 22:00:32,47.67,-52.73,68.0,55,75,20.8
107,Jinxiang,CN,2020-08-21 22:00:33,22.86,115.7,79.7,86,96,1.88
108,Jiuquan,CN,2020-08-21 22:00:33,39.74,98.52,71.69,45,100,18.54
109,Nelson Bay,AU,2020-08-21 22:00:34,-32.72,152.15,55.0,66,90,13.87
110,Lata,PT,2020-08-21 22:00:34,40.16,-8.33,69.01,94,20,3.36
111,Cadillac,US,2020-08-21 22:00:34,44.25,-85.4,82.4,39,1,9.17
112,Mogzon,RU,2020-08-21 22:00:35,51.74,111.96,53.62,89,44,1.52
113,Khilok,RU,2020-08-21 22:00:35,51.37,110.47,56.61,86,94,3.33
114,Narsaq,GL,2020-08-21 22:00:35,60.92,-46.05,57.2,44,5,6.93
115,Ust-Nera,RU,2020-08-21 22:00:35,64.57,143.2,41.68,64,0,5.93
116,East London,ZA,2020-08-21 22:00:35,-33.02,27.91,59.38,74,2,12.48
117,Dickson,US,2020-08-21 22:00:35,36.08,-87.39,73.4,88,40,3.36
118,Halifax,CA,2020-08-21 21:56:33,44.65,-63.57,70.0,67,90,3.0
119,Lebu,CL,2020-08-21 22:00:36,-37.62,-73.65,50.49,80,0,14.14
120,Ibipeba,BR,2020-08-21 22:00:36,-11.64,-42.01,75.74,50,52,9.55
121,Jumla,NP,2020-08-21 22:00:36,29.27,82.18,59.67,70,84,1.48
122,Beringovskiy,RU,2020-08-21 22:00:36,63.05,179.32,51.67,92,100,17.22
123,Kautokeino,NO,2020-08-21 22:00:36,69.01,23.04,56.07,92,64,17.85
124,Ust-Tsilma,RU,2020-08-21 21:58:07,65.44,52.15,46.92,95,0,3.8
125,West Des Moines,US,2020-08-21 22:00:37,41.57,-93.75,90.0,40,20,11.41
126,Faanui,PF,2020-08-21 22:00:37,-16.48,-151.75,77.22,80,8,21.81
127,Carnarvon,AU,2020-08-21 22:00:37,-24.87,113.63,53.6,100,30,4.7
128,Nacala,MZ,2020-08-21 22:00:38,-14.54,40.67,70.68,83,11,10.6
129,Cedral,MX,2020-08-21 22:00:38,23.8,-100.73,81.1,29,57,6.46
130,Oum Hadjer,TD,2020-08-21 22:00:38,13.3,19.7,83.3,69,55,5.12
131,Atuona,PF,2020-08-21 22:00:38,-9.8,-139.03,78.55,78,4,13.06
132,Saldanha,ZA,2020-08-21 22:00:39,-33.01,17.94,53.6,81,0,2.24
133,Yamada,JP,2020-08-21 22:00:39,39.47,141.95,71.26,90,100,4.47
134,Padang,ID,2020-08-21 22:00:39,-0.95,100.35,77.54,79,98,4.68
135,Camana,PE,2020-08-21 22:00:40,-16.62,-72.71,61.97,73,77,6.06
136,Kaitangata,NZ,2020-08-21 22:00:40,-46.28,169.85,52.0,89,84,5.01
137,Dikson,RU,2020-08-21 22:00:40,73.51,80.55,42.6,81,0,13.71
138,Sisimiut,GL,2020-08-21 22:00:40,66.94,-53.67,49.62,74,44,3.13
139,Hokitika,NZ,2020-08-21 22:00:40,-42.72,170.97,53.67,85,96,4.03
140,San Cristobal,VE,2020-08-21 22:00:40,7.77,-72.22,89.6,52,40,16.11
141,Provideniya,RU,2020-08-21 22:00:41,64.38,-173.3,49.98,90,100,9.22
142,Puerto Escondido,MX,2020-08-21 22:00:41,15.85,-97.07,86.0,62,75,6.93
143,Hobart,AU,2020-08-21 22:00:00,-42.88,147.33,36.0,81,20,6.93
144,Urengoy,RU,2020-08-21 22:00:41,65.97,78.37,48.38,90,6,9.31
