City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
162,Severobaykalsk,RU,55.65,109.32,59.34,66,2,2.46,Clear
163,Westlock,CA,54.15,-113.87,53.01,87,1,2.24,Clear
164,Hakui,JP,36.88,136.78,95.0,47,20,10.29,Clouds
165,Anadyr,RU,64.75,177.48,51.8,87,40,13.78,Rain
166,Georgetown,MY,5.41,100.34,89.6,62,20,8.05,Clouds
167,Mersing,MY,2.43,103.84,89.6,70,40,3.36,Clouds
168,Talaya,RU,61.38,152.75,56.91,37,97,5.84,Clouds
169,Lompoc,US,34.64,-120.46,60.8,93,90,5.82,Mist
170,Calamar,CO,10.25,-74.91,74.48,92,89,4.54,Clouds
171,Mecca,SA,21.43,39.83,97.48,17,74,8.81,Clouds
172,Upernavik,GL,72.79,-56.15,42.28,87,91,3.09,Clouds
173,Nabire,ID,-3.37,135.48,84.52,67,20,3.18,Rain
174,Cabo San Lucas,MX,22.89,-109.91,84.0,73,0,10.27,Clear
175,Mareeba,AU,-17.0,145.43,78.8,47,57,21.92,Clouds
176,East London,ZA,-33.02,27.91,59.0,82,30,10.29,Clouds
177,Fuxin,CN,42.02,121.66,85.3,49,100,4.63,Clouds
178,Mitsamiouli,KM,-11.38,43.28,80.6,65,20,3.36,Clouds
179,Pangody,RU,65.85,74.49,58.53,71,76,2.35,Clouds
180,Igmaya-An,PH,10.55,123.22,81.64,74,20,5.61,Clouds
181,Muros,ES,42.78,-9.06,64.0,95,32,1.01,Clouds
182,Neuquen,AR,-38.95,-68.06,46.4,75,81,2.24,Clouds
183,Shimoda,JP,34.67,138.95,82.4,78,75,10.29,Clouds
184,Nieuw Amsterdam,SR,5.88,-55.08,75.2,94,35,1.12,Rain
185,Bredasdorp,ZA,-34.53,20.04,53.6,76,91,4.7,Clouds
186,Sitka,US,57.05,-135.33,57.2,87,90,6.93,Clouds
187,Samarai,PG,-10.62,150.67,78.26,86,81,19.35,Rain
188,Salalah,OM,17.02,54.09,75.2,100,90,8.05,Drizzle
189,Iqaluit,CA,63.75,-68.51,42.8,87,90,2.24,Clouds
190,Kahului,US,20.89,-156.47,80.6,69,40,17.22,Clouds
191,Beeville,US,28.4,-97.75,82.0,88,1,4.7,Clear
192,Sombrio,BR,-29.11,-49.62,56.05,89,37,7.07,Clouds
193,Merauke,ID,-8.47,140.33,81.5,75,100,18.84,Rain
194,Melo,UY,-32.37,-54.18,60.73,88,80,2.86,Clouds
195,Roald,NO,62.58,6.13,48.99,93,20,5.82,Clouds
196,Abu Samrah,SY,35.3,37.18,81.66,42,0,7.87,Clear
197,Sokoni,TZ,-6.43,39.55,75.2,88,75,4.7,Clouds
198,Yalutorovsk,RU,56.65,66.3,64.35,74,77,13.51,Clouds
199,Kupang,ID,-10.17,123.58,91.4,31,20,19.46,Clouds
200,Mangan,IN,27.52,88.53,88.05,45,72,5.75,Rain
201,Alofi,NU,-19.06,-169.92,77.0,69,100,4.7,Clouds
202,Narsaq,GL,60.92,-46.05,41.0,80,40,3.36,Clouds
203,Evensk,RU,61.95,159.23,51.1,53,0,5.19,Clear
204,Kavieng,PG,-2.57,150.8,84.49,72,86,8.52,Clouds
205,Padang,ID,-0.95,100.35,84.92,70,69,5.08,Rain
206,Anzio,IT,41.49,12.62,75.99,83,0,3.0,Clear
207,Longyearbyen,SJ,78.22,15.64,39.2,69,40,11.41,Clouds
208,Japura,ID,-0.32,102.35,87.24,63,95,6.33,Rain
209,Urengoy,RU,65.97,78.37,63.72,61,0,5.86,Clear
210,Lebu,CL,-37.62,-73.65,50.79,87,83,23.38,Rain
211,Kedrovyy,RU,56.17,91.82,62.6,72,99,17.9,Rain
212,Grants,US,35.15,-107.85,66.2,68,40,6.93,Clouds
213,Sumbawanga,TZ,-7.97,31.62,62.6,59,22,6.93,Clouds
214,Beloha,MG,-25.17,45.05,78.67,41,0,7.85,Clear
